"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj"
"Wfdc1" 1.19665601212181e-09 1.6123286729236 0.216 0.061 2.65789266852376e-05
"Sobp" 1.2230027505453e-09 1.08495486740534 0.258 0.078 2.71641140923616e-05
"Olfml1" 1.33355564773486e-09 1.75343901578556 0.155 0.034 2.9619604491839e-05
"Pik3r1" 1.3466530415837e-09 1.04400094345298 0.68 0.4 2.99105107066155e-05
"Slc22a18" 1.43443718329133e-09 1.61975465106036 0.134 0.027 3.18602842780836e-05
"Ppm1n" 1.5214728783038e-09 2.12045687808129 0.227 0.066 3.37934341000057e-05
"Serpina3c" 1.52183127559296e-09 2.64643841291379 0.062 0.006 3.38013944621953e-05
"Tmem106a" 1.65371304212311e-09 1.19812993779468 0.371 0.147 3.67306203785965e-05
"H2-Eb1" 1.84544494958071e-09 1.28937953868498 0.639 0.371 4.09891777751372e-05
"Atp1b2" 1.85623051808398e-09 1.16543247342594 0.371 0.147 4.12287360371633e-05
"Fam129a" 1.99603533224212e-09 1.2368613771376 0.464 0.206 4.43339407644298e-05
"Dapk2" 2.04457133583623e-09 2.5374585856685 0.134 0.027 4.54119739402584e-05
"Hsd11b1" 2.13013436037686e-09 1.66936248453486 0.32 0.119 4.73124142783305e-05
"9930111J21Rik2" 2.24403943186172e-09 1.40256202174292 0.309 0.11 4.98423598210807e-05
"Scn1b" 2.6517974865771e-09 1.26384811866146 0.423 0.18 5.8899073974364e-05
"Eif4e3" 2.79328170619364e-09 1.23664713342365 0.32 0.116 6.2041579976267e-05
"F830016B08Rik" 2.79390416788105e-09 2.01221227455237 0.216 0.064 6.2055405472806e-05
"Lst1" 2.8275461851027e-09 1.55338958680754 0.32 0.118 6.28026283173161e-05
"Grik1" 2.84098496012071e-09 5.75748164975846 0.031 0.001 6.31011169492411e-05
"Gm14412" 2.94153292657652e-09 4.6123741968082 0.031 0.001 6.53343878321911e-05
"Gm49417" 3.12589158541127e-09 4.10197344485287 0.031 0.001 6.94291780035698e-05
"Ces2g" 3.15725026469787e-09 1.14614601644104 0.289 0.097 7.01256856292043e-05
"Slc10a6" 3.30104906391039e-09 1.55379400450427 0.155 0.035 7.33196007585138e-05
